http://	<urlopen error no host given>
https://twitter.com/intent/tweet?text=It\'s%20war%2C%20not%20\'a%20mission\'%3A%20Abbott%20incorrect%20on%20Iraq%20action%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2014-10-03%2Fwar-not-a-mission-abbott-incorrect-on-iraq-action-fact-check%2F5772316&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://www.pm.gov.au/media/2014-04-29/interview-neil-mitchell-radio-3aw	HTTP Error 404: Not Found
http://cf.datawrapper.de/b5FFO/4/?abcnewsembedheight=500	HTTP Error 403: Forbidden
https://www.afp.gov.au/what-we-do/crime-types/fraud/fraud-and-anti-corruption	HTTP Error 403: Forbidden
https://www.abc.net.au//d3bo5ucoqkgs8h.cloudfront.net/lkpzz/4?abcnewsembedheight=370	HTTP Error 404: Not Found
http://fsi.stanford.edu/sites/default/files/Weiss_India_and_the_NPT.pdf	HTTP Error 404: Not Found
http://bigstory.ap.org/article/report-armed-men-seize-regional-govt-crimea	<urlopen error [Errno 11001] getaddrinfo failed>
https://www.liberal.org.au/latest-news/2013/03/15/tony-abbott-address-sydney-institute-sydney	HTTP Error 403: Forbidden
http://www.aihw.gov.au/WorkArea/DownloadAsset.aspx?id=60129549727	HTTP Error 403: Forbidden
http://www.fas.org/sgp/jud/hitsel/051713-defrep.pdf	HTTP Error 403: Forbidden
http://www.couriermail.com.au/news/queenslands-richest-100/story-e6frep2f-1111117370137	HTTP Error 403: Forbidden
http://www.humanservices.gov.au/customer/services/centrelink/pensioner-concession-card	HTTP Error 403: Forbidden
http://www.alp.org.au/negativegearing?_ga=1.238618245.480909297.1462849443	HTTP Error 308: Permanent Redirect
http://www.malcolmturnbull.com.au/assets/Coalition_NBN_policy_-_Background_Paper.pdf#page=19	HTTP Error 403: Forbidden
http://dnb.com.au/library/scripts/objectifyMedia.aspx?file=pdf/62/45.pdf&siteID=1&str_title=View%20full%20June%20quarter%20report.pdf	HTTP Error 404: Not Found
http://www.austlii.edu.au/au/legis/cth/consol_act/ma196185/s88ea.html	HTTP Error 404: File Not Found
http://www.austlii.edu.au/au/cases/cth/HCA/2010/30.html	HTTP Error 410: Gone
http://www.pinknews.co.uk/2017/10/18/prime-minister-theresa-may-addresses-pinknews-awards/	HTTP Error 403: Forbidden
http://www.aph.gov.au/About_Parliament/Senate/Powers_practice_n_procedures/~/link.aspx?_id=F74707A5A4934E05A67EE5969B156435&_z=z	HTTP Error 404: Not Found
http://www.opc.gov.au/acts/acts.htm	HTTP Error 404: Not Found
http://www.joehockey.com/media/transcripts/details.aspx?s=773	HTTP Error 404: Not Found
http://engage.haveyoursay.nsw.gov.au/transportmasterplan	<urlopen error timed out>
http://unfccc.int/di/DetailedByParty/Event.do?event=go	timed out
http://www.law.unimelb.edu.au/masters/future-students/fees-and-scholarships	HTTP Error 404: Not Found
http://www.pm.gov.au/media/2015-03-30/joint-doorstop-interview-cressy	HTTP Error 404: Not Found
http://www.productiveageing.com.au/userfiles/file/stillputtingin.pdf	HTTP Error 404: Not Found
https://www.theaustralian.com.au/opinion/sugar-tax-is-no-cure-for-obesity/news-story/fe164aee16575ff7755c96110257717f	HTTP Error 403: Forbidden
https://www.ato.gov.au/General/New-legislation/In-detail/Other-topics/Repeal-of-MRRT-and-related-measures/Repeal-of-the-Schoolkids-bonus/	HTTP Error 403: Forbidden
https://twitter.com/intent/tweet?text=What%20Greg%20Hunt%20didn\'t%20say%20about%20the%20carbon%20price%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2013-10-01%2Fgreg-hunt-carbon-emissions-misleading%2F4989750&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://twitter.com/intent/tweet?text=Promise%20check%3A%20%2416m%20towards%20upgrading%20Hobart\'s%20Cadbury%20factory%20%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2014-07-27%2F16m-to-factory-upgrades-at-hobart-cadbury-factory-promise-check%2F5447684&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://www.unodc.org/unodc/en/treaties/CAC/signatories.html	HTTP Error 404: Not Found
https://www.abc.net.au//d3bo5ucoqkgs8h.cloudfront.net/QC0pw/1?abcnewsembedheight=370	HTTP Error 404: Not Found
https://infrastructure.gov.au/roads/environment/emission/index.aspx	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
https://standingupforsouthaustralia.com.au/media/a-re-elected-labor-government-will-appoint-an-aboriginal-children-s-commissioner/	hostname 'standingupforsouthaustralia.com.au' doesn't match either of '*.azurewebsites.net', '*.scm.azurewebsites.net', '*.azure-mobile.net', '*.scm.azure-mobile.net', '*.sso.azurewebsites.net'
http://cf.datawrapper.de/bflDc/4/?abcnewsembedheight=400	HTTP Error 403: Forbidden
https://twitter.com/intent/tweet?text=Fact%20check%3A%20Does%20Tasmania%20have%20Australia\'s%20weakest%20political%20donation%20laws%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2018-02-12%2Ffact-check-does-tasmania-have-weakest-political-donation-laws%2F9407872&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://www.abc.net.au//datawrapper.dwcdn.net/rWscB/2?abcnewsembedheight=370	HTTP Error 404: Not Found
https://www.abc.net.au//d3bo5ucoqkgs8h.cloudfront.net/m8jbo/3?abcnewsembedheight=370	HTTP Error 404: Not Found
https://www.qld.gov.au/law/laws-taxes-elections-and-complaints/queensland-laws-and-regulations/new-criminal-bikie-gang-laws/	HTTP Error 404: Not Found
https://christianporter.dss.gov.au/transcripts/abc-news-breakfast	<urlopen error timed out>
http://www.aihw.gov.au/WorkArea/DownloadAsset.aspx?id=60129549848	HTTP Error 403: Forbidden
http://www.fas.org/sgp/jud/kim/indict.pdf	HTTP Error 403: Forbidden
http://parlinfo.aph.gov.au/parlInfo/download/committees/estimate/e313bf35-e2a1-4943-a93f-a453faeecf21/toc_pdf/Finance%20and%20Public%20Administration%20Legislation%20Committee_2015_05_25_3492_Official.pdf;fileType=application%2Fpdf#search=%22committees/estimate/e313bf35-e2a1-4943-a93f-a453faeecf21/0003%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;db=CHAMBER;id=chamber%2Fhansardr%2F4542f24a-411d-41aa-874c-00a76d8af37f%2F0135;query=Id%3A%22chamber%2Fhansardr%2F4542f24a-411d-41aa-874c-00a76d8af37f%2F0000%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/eca281a0-1afd-478f-b8d8-8e95c9aac2cf/toc_pdf/House%20of%20Representatives_2014_03_25_2319_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansardr/eca281a0-1afd-478f-b8d8-8e95c9aac2cf/0000%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-04-02/toc_pdf/H%201992-04-02.pdf	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/library/partypol/2717533/upload_binary/2717533.pdf;fileType=application/pdf#search=%222010s%202013%20liberal-national%20coalition%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/legislation/ems/r5271_ems_90a07517-3010-4b9e-a028-a97398984a22/upload_pdf/394871.pdf;fileType=application%2Fpdf	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22legislation%2Fbillhome%2Fr5502%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://parlinfo.aph.gov.au/parlInfo/download/media/pressrel/HU7S6/upload_binary/hu7s60.pdf;fileType=application%2Fpdf#search=%22historic%20same-sex%20reforms%22	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
http://www.humanservices.gov.au/customer/services/centrelink/special-benefit	HTTP Error 403: Forbidden
https://www.liberal.org.au/latest-news/2013/05/09/tony-abbott-press-release-coalitions-commitment-build-f3-m2-link	HTTP Error 403: Forbidden
http://203.3.221.13/__data/assets/pdf_file/0018/21942/bp2_ch2.pdf#page=7	<urlopen error timed out>
http://www.attorneygeneral.gov.au/Mediareleases/Pages/2014/First%20Quarter/25March2014-RacialDiscriminationAct.aspx	HTTP Error 404: Not Found
